"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-A1-A0SB-01"	0.108333070970691	NA	0.500348146986294	0.935093412918	0.565482650525	0.625067766666667	"BRCA"	0.32	1	0.5552033	0.9328
"TCGA-A1-A0SD-01"	0.293632053353533	NA	0.585632052203276	0.741852764413	0.547182	0.545541033333333	"BRCA"	0.64	0.52	0.4766231	0.6906
"TCGA-A1-A0SE-01"	0.40261727013734	NA	0.659229433914987	0.804319519055	0.444341557725	0.389218266666667	"BRCA"	0.36	0.48	0.3276548	0.7979
"TCGA-A1-A0SF-01"	0.451876642749416	NA	0.525328242682021	0.721385771341	0.42438785	0.399781666666667	"BRCA"	0.46	0.42	0.319345	0.7237
"TCGA-A1-A0SG-01"	0.38263395879807	NA	0.64837559736196	0.744929883489	0.622766360931	0.654106166666667	"BRCA"	0.73	0.6	0.6323185	0.7569
"TCGA-A1-A0SH-01"	0.19728432615567	NA	0.633023393885435	0.668971150837	0.371586758333	0.3617344	"BRCA"	0.28	0.45	0.3552032	0.6574
"TCGA-A1-A0SI-01"	0.469895324310552	NA	0.75513136509661	0.620905872996	0.423979884803	0.4479201	"BRCA"	0.4	0.49	0.4537603	0.6438
"TCGA-A1-A0SJ-01"	0.383467073616987	NA	0.713930167620881	0.785914737432	0.537802719264	0.5091093	"BRCA"	0.58	0.6	0.3473279	0.7984
"TCGA-A1-A0SK-01"	0.89733912160506	NA	1.27203639947435	0.983461483141	0.896354466667	0.9062581	"BRCA"	0.98	0.84	0.8987743	0.9288
"TCGA-A1-A0SM-01"	0.437146371924235	NA	0.658146199173137	0.727881127002	0.596234583333	0.626177533333333	"BRCA"	0.7	0.57	0.6085326	0.7903
"TCGA-A1-A0SN-01"	0.517556922407665	NA	0.777438966427185	0.670994527891	0.453559410402	0.462405566666667	"BRCA"	0.51	0.45	0.4272167	0.6915
"TCGA-A1-A0SO-01"	0.845608155571615	NA	1.16064570899168	0.952588579572	0.805449966667	0.783343	"BRCA"	0.84	0.69	0.820029	0.9325
