"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-02-0047-01"	0.321358043523195	NA	0.499918021234938	0.759964070042	0.566030187706	0.557463133333333	"GBM"	0.37	0.68	0.6223894	0.8266
"TCGA-02-0055-01"	0.556102578206316	NA	0.199838984727964	0.562113187357	0.44200490872	0.517509266666667	"GBM"	0.42	0.49	0.6425278	0.6655
"TCGA-02-2483-01"	0.343282410842658	NA	0.858978088717318	0.821937009647	0.645920989246	0.6174262	"GBM"	0.55	0.57	0.7322786	0.7913
"TCGA-02-2485-01"	0.701701164969737	NA	0.827269327064855	0.888965014443	0.7983288	0.7832652	"GBM"	0.73	0.79	0.8297956	0.89
"TCGA-06-0125-01"	0.551376867707267	NA	0.813524649757254	0.899980665982	0.770618287913	0.7458996	"GBM"	0.73	0.7	0.8076988	0.933
"TCGA-06-0129-01"	0.503393604601697	NA	1.30949531675229	0.820453947638	0.75612425	0.768065	"GBM"	0.73	0.67	0.904195	0.9476
"TCGA-06-0130-01"	0.586501710560403	NA	0.285611311831297	0.453474461963	0.287981592046	0.3272756	"GBM"	0.31	0.3	0.3718268	0.4285
"TCGA-06-0132-01"	0.182789590776447	NA	0.222011667591932	0.622678503947	0.322597383333	0.287008333333333	"GBM"	0.37	0.31	0.181025	0.5015
"TCGA-06-0141-01"	0.309743386360303	NA	0.270178584526612	0.627897880347	0.2755873	0.2589937	"GBM"	0.2	0.45	0.1269811	0.647
"TCGA-06-0157-01"	0.531524383487072	NA	0.81030602269766	0.799156595418	0.728508728732	0.748861366666667	"GBM"	0.71	0.75	0.7865841	0.9404
"TCGA-06-0158-01"	0.409123278976767	NA	0.679608706072388	0.807115061217	0.67268740137	0.659552333333333	"GBM"	0.49	0.72	0.768657	0.7596
"TCGA-06-0168-01"	0.468149442250934	NA	0.478020051503685	0.704482876747	0.5487364	0.577722133333333	"GBM"	0.5	0.61	0.6231664	0.8077
"TCGA-06-0174-01"	0.495787729325751	NA	0.867948838877139	0.900734569343	0.863208669945	0.885863466666667	"GBM"	0.78	0.88	0.9975904	0.9047
"TCGA-06-0178-01"	0.344569350345466	NA	0.538724476501585	0.792048030707	0.553945636983	0.5147516	"GBM"	0.46	0.3	0.7842548	0.8589
"TCGA-06-0184-01"	0.586484409105285	NA	0.309603005810299	0.685297878898	0.550362116035	0.605037433333333	"GBM"	0.77	0.53	0.5151123	0.7439
"TCGA-06-0187-01"	0.44923737160502	NA	0.548047265465112	0.799229299355	0.742156374147	0.754048766666667	"GBM"	0.66	0.82	0.7821463	0.9253
"TCGA-06-0190-01"	0.45634021625303	NA	0.434618279623156	0.65548313789	0.402754826975	0.411117	"GBM"	0.34	0.36	0.533351	0.6238
"TCGA-06-0210-01"	0.390216857687524	NA	0.415018731277676	0.749500971244	0.454464364856	0.416459666666667	"GBM"	0.54	0.3	0.409379	0.6793
"TCGA-06-0219-01"	0.587909653263795	NA	0.460215895831331	0.799567458453	0.581312633333	0.544918566666667	"GBM"	0.41	0.62	0.6047557	0.7864
"TCGA-06-0238-01"	0.374647953910479	NA	0.616051293231596	0.767272180215	0.553939451835	0.553123366666667	"GBM"	0.3	0.59	0.7693701	0.8806
"TCGA-06-0644-01"	0.470440679535356	NA	0.332945113663178	0.663893833667	0.462673545641	0.6414553	"GBM"	0.47	0.46	0.9943659	0.7697
"TCGA-06-0645-01"	0.473163708803136	NA	0.335264133836673	0.608035333649	0.520400493858	0.601734366666667	"GBM"	0.55	0.62	0.6352031	0.6886
"TCGA-06-0646-01"	0.575209890828561	NA	0.691862478382651	0.748727968872	0.682362633333	0.7195574	"GBM"	0.63	0.75	0.7786722	0.9253
"TCGA-06-0649-01"	0.357101221563565	NA	0.392413706711059	0.684615377543	0.503052421901	0.5286706	"GBM"	0.38	0.59	0.6160118	0.7466
"TCGA-06-0686-01"	0.327234729491289	NA	0.768182542595353	0.857833646488	0.663000407801	0.715251666666667	"GBM"	0.53	0.62	0.995755	0.8508
"TCGA-06-0743-01"	0.385418890266972	NA	0.684320418528272	0.830422172798	0.726587674848	0.715970733333333	"GBM"	0.6	0.78	0.7679122	0.8161
"TCGA-06-0744-01"	0.373506622074979	NA	0.824433922460592	0.87666093658	0.822977108333	0.824721966666667	"GBM"	0.81	0.82	0.8441659	0.8832
"TCGA-06-0745-01"	0.632232710377709	NA	0.615085950583383	0.77912683658	0.754783474301	0.883117433333333	"GBM"	0.9	0.75	0.9993523	0.744
"TCGA-06-0747-01"	0.430963481631534	NA	0.733016214250003	0.9254158143	0.849357766667	0.8251356	"GBM"	0.75	0.85	0.8754068	0.9284
"TCGA-06-0749-01"	0.216473796962689	NA	0.399654648787219	0.779951965434	0.645308726427	0.762923233333333	"GBM"	0.72	0.57	0.9987697	0.7436
"TCGA-06-0750-01"	0.37875087894194	NA	0.429668285708353	0.726516896754	0.523375822598	0.537358166666667	"GBM"	0.31	0.68	0.6220745	0.7913
"TCGA-06-0878-01"	0.457944983719438	NA	0.524484639936725	0.751844361275	0.628716893785	0.7525617	"GBM"	0.55	0.71	0.9976851	0.8835
"TCGA-06-0882-01"	0.259952964559866	NA	0.392176694792029	0.733522600679	0.4828654784	0.4652358	"GBM"	0.38	0.52	0.4957074	0.6603
"TCGA-06-1804-01"	0.320524515320136	NA	0.884528643207566	0.869514279447	0.791899643288	0.803279566666667	"GBM"	0.86	0.78	0.7698387	0.8302
"TCGA-06-2557-01"	0.387204672649312	NA	0.646541847756304	0.681671727357	0.536969505194	0.581863833333333	"GBM"	0.67	0.39	0.6855915	0.7913
