"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-BA-4074-01"	0.906082816557025	0.825172824839429	1.40278069515048	0.768010438758	0.520272860848	0.699134466666667	"HNSC"	0.56	0.54	0.9974034	0.7216
"TCGA-BA-4075-01"	0.782186670872432	0.929282260153436	0.951453531145555	0.82207584102	0.565122190303	0.704716666666667	"HNSC"	0.53	0.59	0.99415	0.7724
"TCGA-BA-4076-01"	0.573964187541045	0.992845478897085	0.783975765661175	0.925096152019	0.792977229583	0.856539766666667	"HNSC"	0.78	0.79	0.9996193	0.8953
"TCGA-BA-4077-01"	0.629953873640609	0.923570735057886	0.835434420372963	0.76481306381	0.575906733319	0.624741933333333	"HNSC"	0.6	0.67	0.6042258	0.7873
"TCGA-BA-4078-01"	0.834546252403674	0.820243202736182	1.00084728691266	0.767117111779	0.695301148775	0.853145366666667	"HNSC"	0.75	0.81	0.9994361	0.8611
"TCGA-BA-5151-01"	0.287471219098966	0.958190162845353	0.702465269683082	0.759442176682	0.47147235069	0.481136933333333	"HNSC"	0.41	0.63	0.4034108	0.7226
"TCGA-BA-5152-01"	0.39725548630726	0.943086961016644	0.782714924559866	0.721480162293	0.47058795	0.540955566666667	"HNSC"	0.34	0.34	0.9428667	0.5059
"TCGA-BA-5153-01"	0.73923980717016	0.816258500495169	0.966924628338364	0.765637665509	0.609170662767	0.809666	"HNSC"	1	0.71	0.718998	0.8111
"TCGA-BA-5555-01"	0.623073284932117	0.957332572252583	0.79352410174198	0.857327614979	0.548171230993	0.549378466666667	"HNSC"	0.45	0.45	0.7481354	0.6952
"TCGA-BA-5556-01"	0.185100214132299	0.934523680312815	0.731220994955708	0.673945473147	0.285682001521	0.2785884	"HNSC"	0.27	0.33	0.2357652	0.5156
"TCGA-BA-5557-01"	0.208651879030694	0.920953654466192	0.607378446552039	0.529855170212	0.303501551032	0.320289266666667	"HNSC"	0.43	0.3	0.2308678	0.399
"TCGA-BA-5558-01"	0.400823901105123	0.969194675305469	0.678770160751096	0.738070125035	0.347768352048	0.3513811	"HNSC"	0.31	0.31	0.4341433	0.6303
"TCGA-BA-5559-01"	0.547105751313903	0.395322479036565	0.958468380242494	0.576498400526	0.451212499986	0.5284846	"HNSC"	0.38	0.6	0.6054538	0.6862
"TCGA-BA-6868-01"	0.580738963210421	0.974528679185166	0.570591639301359	0.922819798127	0.66718636056	0.7385892	"HNSC"	0.58	0.64	0.9957676	0.8347
"TCGA-BA-6869-01"	0.360679536708336	0.967545579727923	0.744695267825124	0.909641811375	0.6544194857	0.739689266666667	"HNSC"	0.59	0.63	0.9990678	0.7758
"TCGA-BA-6870-01"	0.495544373898255	0.967970410709954	0.606035164613148	0.801556013561	0.439456659802	0.411981466666667	"HNSC"	0.42	0.52	0.2959444	0.5002
"TCGA-BA-6871-01"	0.721077104302632	0.684514530052142	1.09116675636085	0.686904348323	0.639218787815	0.7367458	"HNSC"	0.53	0.71	0.9702374	0.817
"TCGA-BA-6872-01"	0.462334771814736	0.978258665169091	0.652157251154565	0.822001944027	0.500957410931	0.478550733333333	"HNSC"	0.58	0.5	0.3556522	0.7247
"TCGA-BA-6873-01"	0.519454587793216	0.961602788270878	0.734541315187313	0.815151851012	0.458669933333	0.454762633333333	"HNSC"	0.38	0.43	0.5542879	0.7092
"TCGA-BA-7269-01"	0.872462677771405	0.898243420787731	1.25821718594635	0.804247595475	0.496175505615	0.500758766666667	"HNSC"	0.47	0.51	0.5222763	0.7917
"TCGA-BA-A4IF-01"	0.586674243233794	0.985094303511559	0.805071306335683	0.936863284521	0.483009683333	0.3856282	"HNSC"	0.38	0.35	0.4268846	0.7466
"TCGA-BA-A4IG-01"	0.638154163979156	0.97500680180707	1.00213610835698	0.891818957918	0.474956570965	0.425470433333333	"HNSC"	0.37	0.39	0.5164113	0.5479
"TCGA-BA-A4IH-01"	0.751158233849979	0.822501691227363	1.26266092730429	0.831741494764	0.680461076364	0.726349766666667	"HNSC"	0.7	0.69	0.7890493	0.8211
"TCGA-BA-A4II-01"	0.499846101429336	0.959392826232609	0.817285347979667	0.815777627467	0.370110922945	0.3261332	"HNSC"	0.35	0.33	0.2983996	0.8009
