"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-CS-4938-01"	0.885342451840449	NA	0.586693052303644	0.90272129351	0.640163428751	0.682376633333333	"LGG"	0.68	0.59	0.7771299	0.9027
"TCGA-CS-4941-01"	0.571350524364933	NA	1.25769786911154	0.806524796405	0.474040051751	0.5078816	"LGG"	0.33	0.62	0.5736448	0.7466
"TCGA-CS-4942-01"	0.725179513966342	NA	0.939789667910808	0.811019225748	0.683992301106	0.809631833333333	"LGG"	0.94	0.75	0.7388955	0.7702
"TCGA-CS-4943-01"	0.551859471726717	NA	0.998051255366994	0.913807305976	0.782471257096	0.822989933333333	"LGG"	0.73	0.84	0.8989698	0.9178
"TCGA-CS-4944-01"	0.771629859564695	NA	0.482914328315187	0.880729526489	0.601168164736	0.606558433333333	"LGG"	0.41	0.72	0.6896753	0.8886
"TCGA-CS-5390-01"	0.671649785931874	NA	0.630592813054543	0.969456024561	0.753223366667	0.749955166666667	"LGG"	0.81	0.76	0.6798655	0.9785
"TCGA-CS-5393-01"	0.601489771684434	NA	0.792400848183645	0.878538841616	0.579762121726	0.593703133333333	"LGG"	0.47	0.63	0.6811094	0.87
"TCGA-CS-5394-01"	0.788560229293109	NA	0.54866794052478	0.983490176561	0.776655341667	0.789252833333333	"LGG"	0.62	0.87	0.8777585	0.9901
"TCGA-CS-5395-01"	0.829913526306923	NA	0.68261943876551	0.937306462086	0.72066859685	0.722701833333333	"LGG"	0.59	0.79	0.7881055	0.8914
"TCGA-CS-5396-01"	0.655240835372257	NA	0.542691409737431	0.921245306708	0.770312704427	0.8239494	"LGG"	0.88	0.84	0.7518482	0.9129
"TCGA-CS-5397-01"	0.546451121474898	NA	0.741174067611583	0.871980138768	0.531716970526	0.5337575	"LGG"	0.43	0.59	0.5812725	0.8608
"TCGA-CS-6186-01"	0.93902665965915	NA	0.801293744346099	0.927338078577	0.707405022025	0.794840466666667	"LGG"	0.61	0.78	0.9945214	0.9342
"TCGA-CS-6188-01"	0.726174555769094	NA	0.9129848814208	0.849535326729	0.5441051	0.569123033333333	"LGG"	0.44	0.64	0.6273691	0.829
"TCGA-CS-6290-01"	0.575277511501659	NA	1.00541310679028	0.765670409759	0.479466663828	0.528803266666667	"LGG"	0.34	0.67	0.5764098	0.7055
"TCGA-CS-6666-01"	0.612941327293261	NA	0.789814135851472	0.886516809451	0.580644583333	0.610485633333333	"LGG"	0.54	0.52	0.7714569	0.8792
"TCGA-CS-6667-01"	0.84334400005809	NA	0.707929594708532	0.914224678393	0.513330394063	0.501813433333333	"LGG"	0.33	0.52	0.6554403	0.919
"TCGA-CS-6668-01"	0.621658617704983	NA	0.607084370845714	0.985328448644	0.683898583333	0.707882033333333	"LGG"	0.62	0.67	0.8336461	0.9971
"TCGA-CS-6669-01"	0.893115065203432	NA	1.86733739388193e-05	0.984059388833	0.461303547165	0.57059449	"LGG"	0.61	1	0.10178347	0.8362
"TCGA-CS-6670-01"	0.582495083214725	NA	0.449629749166453	0.966050326965	0.567158888563	0.443993066666667	"LGG"	0.34	0.71	0.2819792	0.9816
"TCGA-DB-5270-01"	0.360933787154699	NA	0.437854642347919	0.877702388783	0.460766141667	0.424573766666667	"LGG"	0.39	0.44	0.4437213	0.8756
"TCGA-DB-5273-01"	0.760690231228619	NA	0.755317197151156	0.823608990233	0.570936278161	0.608281566666667	"LGG"	0.72	0.7	0.4048447	0.79
"TCGA-DB-5274-01"	0.539550141119509	NA	0.892753194443718	0.857178890789	0.612289762544	0.6325872	"LGG"	0.45	0.79	0.6577616	0.8734
"TCGA-DB-5275-01"	0.708001423748707	NA	0.719222911546391	0.937860277955	0.63797797804	0.624825433333333	"LGG"	0.5	0.62	0.7544763	0.95
"TCGA-DB-5277-01"	0.626250424574423	NA	0.854029579869549	0.951925068635	0.759941566408	0.843174266666667	"LGG"	0.82	0.72	0.9895228	0.9627
"TCGA-DB-5278-01"	0.554004516097028	NA	0.465344701825611	0.942558163312	0.673890011749	0.6505477	"LGG"	0.52	0.75	0.6816431	0.9544
"TCGA-DB-5279-01"	0.702311177501881	NA	0.429458041087928	0.939694464202	0.814556369352	0.8613228	"LGG"	0.9	0.83	0.8539684	0.9507
