"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-18-3407-01"	0.426466368532163	0.742953634263558	0.527101928296103	0.755340648628	0.384855933333	0.346202166666667	"LUSC"	0.45	0.31	0.2786065	0.6126
"TCGA-18-3408-01"	0.804177234484892	0.375324686467593	0.635478922704126	0.749624631435	0.619332579541	0.6721137	"LUSC"	0.7	0.57	0.7463411	0.7141
"TCGA-18-3409-01"	0.268224638589139	0.453760362632896	0.244016225267216	0.585582657363	0.47037695	0.529801533333333	"LUSC"	0.5	0.46	0.6294046	0.6749
"TCGA-18-3410-01"	0.696752514074689	0.452012713976165	0.425430929672079	0.697945505159	0.599052059544	0.659259033333333	"LUSC"	0.73	0.62	0.6277771	0.7645
"TCGA-18-3411-01"	0.671237764401783	0.725296120326218	0.642739157369865	0.736527828926	0.543066392697	0.702693933333333	"LUSC"	0.61	0.5	0.9980818	0.6655
"TCGA-18-3412-01"	0.74939008786882	0.80346538079024	0.793967646838331	0.825406844298	0.603661884641	0.754306866666667	"LUSC"	1	0.5	0.7629206	0.9025
"TCGA-18-3414-01"	0.515848386718073	0.700444703553293	0.572596049894561	0.788787280902	0.670509037863	0.7979098	"LUSC"	0.7	0.7	0.9937294	0.8835
"TCGA-18-3415-01"	0.655432738976059	0.691437532589695	0.627679871805153	0.705095784609	0.479824175	0.495272866666667	"LUSC"	0.55	0.44	0.4958186	0.6181
"TCGA-18-3416-01"	0.707660832845431	0.464092964664053	0.588571021740661	0.685514418282	0.517427859569	0.5541401	"LUSC"	0.67	0.46	0.5324203	0.6465
"TCGA-18-3417-01"	0.599890427039208	0.578695683402558	0.511997918996761	0.681412595339	0.441989625	0.489875566666667	"LUSC"	0.46	0.28	0.7296267	0.6331
"TCGA-18-3419-01"	0.681948106079125	0.632561947021474	0.983143218570187	0.805346385346	0.522116021843	0.5145945	"LUSC"	0.45	0.54	0.5537835	0.7034
"TCGA-18-3421-01"	0.734483792469206	0.758878901501039	0.57855388150062	0.765244512347	0.568124033333	0.6109982	"LUSC"	0.5	0.44	0.8929946	0.6573
"TCGA-18-4083-01"	0.767257733379071	0.676282721767262	0.625622875288904	0.793202594027	0.579692432071	0.713985833333333	"LUSC"	0.62	0.53	0.9919575	0.8171
"TCGA-18-4721-01"	0.775911086547756	0.285534343151708	0.542259951877366	0.616481274357	0.483072138847	0.556822933333333	"LUSC"	0.42	0.43	0.8204688	0.5327
"TCGA-18-5592-01"	0.678045825428812	0.86549829117759	0.57756971433518	0.877462256316	0.720556596944	0.8380853	"LUSC"	1	0.73	0.7842559	0.8393
"TCGA-18-5595-01"	0.756383916304765	0.890573128996683	0.641854875805255	0.939680921093	0.760067631889	0.7492495	"LUSC"	0.78	0.67	0.7977485	0.9493
"TCGA-21-1070-01"	0.530321503154643	0.653708871885736	0.432634627512293	0.657762174278	0.443228025	0.458010066666667	"LUSC"	0.53	0.42	0.4240302	0.6078
"TCGA-21-1071-01"	0.590327285945788	0.630793516073705	0.586335347949581	0.772233790293	0.393445290866	0.550785566666667	"LUSC"	0.44	0.23	0.9823567	0.7243
"TCGA-21-1075-01"	0.802240104658514	0.902748913104183	0.750189258999761	0.952141866958	0.74759602392	0.785729166666667	"LUSC"	0.7	0.66	0.9971875	0.874
"TCGA-21-1076-01"	0.386499891166174	0.450428946105073	0.0919648438436264	0.459487985144	0.357311891667	0.4451918	"LUSC"	0.33	0.3	0.7055754	0.3107
"TCGA-21-1077-01"	0.644355873618445	0.711140108790915	0.561089623228066	0.781194578473	0.487419575	0.500856166666667	"LUSC"	0.48	0.33	0.6925685	0.6037
"TCGA-21-1078-01"	0.236548309391507	0.774330302955629	0.559434121612519	0.956123091048	0.7512950058	0.720245733333333	"LUSC"	0.56	0.73	0.8707372	0.9869
"TCGA-21-1079-01"	0.532140097719361	0.819695879796276	0.445839450910865	0.769815507649	0.54080766846	0.681610166666667	"LUSC"	0.54	0.52	0.9848305	0.7281
"TCGA-21-1080-01"	0.735417613597314	0.842083866739835	0.62557188731189	0.845580074314	0.711902343863	0.812240166666667	"LUSC"	0.74	0.7	0.9967205	0.8744
"TCGA-21-1081-01"	0.665639544698791	0.71885174134373	0.713998339025815	0.853954144427	0.512084782554	0.627842866666667	"LUSC"	0.5	0.39	0.9935286	0.6573
"TCGA-21-1082-01"	0.649958519195596	0.607071056184392	0.613543205405909	0.73322286057	0.639852541667	0.705921	"LUSC"	0.9	0.6	0.617763	0.6851
"TCGA-21-1083-01"	0.703528129380615	0.566986162601696	0.50785524413721	0.761032749065	0.530738762639	0.683114166666667	"LUSC"	0.55	0.5	0.9993425	0.7129
"TCGA-21-5782-01"	0.703916305080336	0.652031715763335	0.515219665605495	0.785937141591	0.497532508333	0.477641733333333	"LUSC"	0.49	0.52	0.4229252	0.6888
"TCGA-21-5783-01"	0.651980267161925	0.699772673405682	0.473224837697145	0.872320684548	0.62580986314	0.722776533333333	"LUSC"	0.62	0.55	0.9983296	0.7261
"TCGA-21-5784-01"	0.397262484062713	0.631865933718675	0.354239874102576	0.688586237284	0.307915150967	0.5070377	"LUSC"	0.3	1	0.2211131	0.3985
"TCGA-21-5786-01"	0.636684686505853	0.821183487708689	0.501485958304271	0.823851360395	0.612267488133	0.728918433333333	"LUSC"	0.65	0.54	0.9967553	0.7458
"TCGA-21-5787-01"	0.684185270059515	0.536815116326735	0.432598564867284	0.644887536602	0.49060415725	0.529771966666667	"LUSC"	0.62	0.48	0.4893159	0.614
"TCGA-21-A5DI-01"	0.548197441778004	0.886594159817239	0.626185564919245	0.896258638282	0.467757001054	0.373122566666667	"LUSC"	0.43	0.41	0.2793677	0.8983
"TCGA-22-0940-01"	0.615182910489758	0.573453548634577	0.382706081011734	0.615656722355	0.411502601701	0.472134433333333	"LUSC"	0.38	0.24	0.7964033	0.4622
"TCGA-22-0944-01"	0.698262847544719	0.915314407544498	0.640593027246023	0.914943427544	0.561687371988	0.643160733333333	"LUSC"	0.5	0.43	0.9994822	0.6573
"TCGA-22-1000-01"	0.21037875991895	0.510254059165439	0.0927007475422092	0.459015312185	0.323572429603	0.6172693	"LUSC"	0.28	1	0.5718079	0.2998
"TCGA-22-1002-01"	0.34951176519602	0.427268986405868	0.129753352607807	0.679933379565	0.43026567087	0.6174032	"LUSC"	0.51	0.35	0.9922096	0.6123
"TCGA-22-1005-01"	0.21112982291583	0.194322269692545	0.132007255753404	0.47304749929	0.300925643689	0.489096813333333	"LUSC"	0.37	1	0.09729044	0.3405
"TCGA-22-1011-01"	0.443760468406321	0.46891124410791	0.621041130948365	0.660756763587	0.440284672181	0.504731433333333	"LUSC"	0.42	0.23	0.8641943	0.5828
"TCGA-22-1012-01"	0.73207301187513	0.862867213389807	0.571726243582381	0.812288621315	0.454188625	0.424068666666667	"LUSC"	0.36	0.45	0.462206	0.6215
"TCGA-22-1016-01"	0.290580350573253	0.37798719656858	9.67640072532657e-06	0.626068629764	0.396428765208	0.5998024	"LUSC"	0.51	0.29	0.9994072	0.495
"TCGA-22-4591-01"	0.734386308453335	0.633797133587673	0.651008751570009	0.900359409659	0.743054064163	0.822810833333333	"LUSC"	0.83	0.64	0.9984325	0.8583
"TCGA-22-4593-01"	0.593912090583262	0.675914203874417	0.600721485214125	0.797173971967	0.625793730893	0.7564457	"LUSC"	0.69	0.59	0.9893371	0.7136
"TCGA-22-4594-01"	0.417571330640446	0.0755861667992666	0.387288156701638	0.613974362788	0.402714420653	0.442468666666667	"LUSC"	0.34	0.41	0.577406	0.4618
"TCGA-22-4595-01"	0.621019790913429	0.585219734749598	0.501874088629981	0.699647431138	0.559969966667	0.620017366666667	"LUSC"	0.8	0.47	0.5900521	0.8806
"TCGA-22-4596-01"	0.182815292168029	0.0855280590251147	0.0487410437522545	0.428802660229	0.234098102541	0.260894833333333	"LUSC"	0.2	0.23	0.3526845	0.3332
"TCGA-22-4599-01"	0.749001933236071	0.513482969770747	0.475617830487296	0.639214899507	0.518604366667	0.5975537	"LUSC"	0.46	0.47	0.8626611	0.6362
"TCGA-22-4601-01"	0.51228617429022	0.615762420539671	0.663635298504926	0.876956567611	0.690817240841	0.6940401	"LUSC"	0.71	0.67	0.7021203	0.8997
"TCGA-22-4604-01"	0.575971790569747	0.55299575104248	0.382769338841987	0.581001160955	0.402792065268	0.808214966666667	"LUSC"	1	0.43	0.9946449	0.6601
"TCGA-22-4605-01"	0.335986414940713	0.633387464237733	0.329412646962667	0.681932566945	0.286505470036	0.251123566666667	"LUSC"	0.25	0.25	0.2533707	0.5712
"TCGA-22-4607-01"	0.66347730695696	0.557461464902035	0.673031529313825	0.751184672455	0.590411858333	0.6140419	"LUSC"	0.75	0.6	0.4921257	0.7496
"TCGA-22-4609-01"	0.345053268048827	0.500933725253574	0.104755406643707	0.588308620932	0.379414941667	0.398412133333333	"LUSC"	0.41	0.4	0.3852364	0.5383
"TCGA-22-4613-01"	0.726858506620029	0.639122409328044	0.539309985114849	0.732886938694	0.571898677263	0.725434133333333	"LUSC"	0.59	0.59	0.9963024	0.6471
"TCGA-22-5471-01"	0.741020286686533	0.759770632571509	0.589174608909358	0.715163797285	0.516788875	0.535743233333333	"LUSC"	0.75	0.43	0.4272297	0.6566
"TCGA-22-5472-01"	0.319293408984839	0.605650330728571	0.24711309569947	0.78333328739	0.550048817674	0.5596265	"LUSC"	0.46	0.63	0.5888795	0.7454
"TCGA-22-5473-01"	0.815022490482454	0.724792077934903	0.60800917448538	0.830737006173	0.641167927877	0.6662336	"LUSC"	0.59	0.55	0.8587008	0.773
"TCGA-22-5474-01"	0.543843854139089	0.472917562346397	0.512904396050417	0.64688409364	0.510693352425	0.5433279	"LUSC"	0.65	0.54	0.4399837	0.5739
"TCGA-22-5477-01"	0.735674621173828	0.679779530263206	0.720656571158392	0.882059109967	0.692404044863	0.700135266666667	"LUSC"	0.73	0.64	0.7304058	0.8716
"TCGA-22-5478-01"	0.433303257542815	0.427694784221763	0.452518934044034	0.77656872906	0.452658242172	0.434839833333333	"LUSC"	0.47	0.38	0.4545195	0.5894
"TCGA-22-5479-01"	0.711670859119705	0.819896976957519	0.643692820282234	0.803240883521	0.388888038729	0.344736833333333	"LUSC"	0.36	0.28	0.3942105	0.5748
"TCGA-22-5480-01"	0.479454151677795	0.567683745876358	0.272097275658661	0.687045036411	0.560572658453	0.611511366666667	"LUSC"	0.52	0.65	0.6645341	0.716
"TCGA-22-5481-01"	0.876048157031187	0.131374266086992	0.674803701554304	0.788535353543	0.703145393755	0.755739166666667	"LUSC"	0.64	0.65	0.9772175	0.7686
"TCGA-22-5482-01"	0.654437358098994	0.919382282626132	0.590652361787115	0.863008164821	0.642059787344	0.759024666666667	"LUSC"	0.83	0.45	0.997074	0.7887
"TCGA-22-5483-01"	0.751702279496809	0.155130182709752	0.576570212046451	0.743383990386	0.564029896851	0.5909647	"LUSC"	0.62	0.56	0.5928941	0.809
"TCGA-22-5485-01"	0.676684500700666	0.700579720586694	0.695557532038253	0.864050857235	0.641240122467	0.634165033333333	"LUSC"	0.56	0.68	0.6624951	0.8083
"TCGA-22-5489-01"	0.502253022655955	0.389147370471862	0.254691406752963	0.533024922931	0.367623327654	0.401154466666667	"LUSC"	0.38	0.43	0.3934634	0.5441
"TCGA-22-5491-01"	0.747950766171726	0.889627719824896	0.665494464748211	0.908410739243	0.686863680579	0.6819303	"LUSC"	0.72	0.58	0.7457909	0.8394
"TCGA-22-5492-01"	0.429969873878256	0.351757764812903	0.301451413057691	0.664915913621	0.510521122934	0.544185566666667	"LUSC"	0.55	0.56	0.5225567	0.5967
"TCGA-22-A5C4-01"	0.562341855464748	0.584291560184755	0.782289032868589	0.891638332378	0.639503108333	0.632798533333333	"LUSC"	0.55	0.47	0.8783956	0.8168
"TCGA-33-4532-01"	0.798979759094346	0.870334047434707	0.62447933732157	0.942554010333	0.756856295521	0.845532866666667	"LUSC"	1	0.59	0.9465986	0.836
"TCGA-33-4533-01"	0.603690044633076	0.34747809642988	0.564655136546239	0.846333409801	0.707165452872	0.816481533333333	"LUSC"	0.83	0.62	0.9994446	0.8335
"TCGA-33-4538-01"	0.676210836643861	0.834218568804214	0.620487869428256	0.877838257303	0.665649799873	0.671076533333333	"LUSC"	0.61	0.51	0.8932296	0.769
"TCGA-33-4547-01"	0.492759235950305	0.61058962815965	0.498363865562764	0.777736971077	0.622966583333	0.670806333333333	"LUSC"	0.58	0.5	0.932419	0.8712
"TCGA-33-4566-01"	0.857750452518104	0.724877990825128	0.511411568196807	0.698162781539	0.488772520862	0.666449633333333	"LUSC"	0.49	0.51	0.9993489	0.6537
"TCGA-33-4582-01"	0.767979631883833	0.80604750142581	0.615868811353143	0.922574308113	0.586491808224	0.657603566666667	"LUSC"	0.47	0.51	0.9928107	0.6796
"TCGA-33-4583-01"	0.71584787156467	0.914930939583408	0.755298900125227	0.872921022393	0.542532211138	0.646019666666667	"LUSC"	0.45	0.49	0.998059	0.7022
"TCGA-33-4586-01"	0.700166229464854	0.88905392499663	0.666667473508045	0.878021943625	0.56639245	0.553017566666667	"LUSC"	0.45	0.42	0.7890527	0.5774
"TCGA-33-4587-01"	0.830233869313694	0.507069349648846	1.86637867193009	0.917623323826	0.762949418392	0.772669933333333	"LUSC"	0.74	0.65	0.9280098	0.9215
"TCGA-33-4589-01"	0.874363829703617	0.92932481997355	0.47387288070007	0.707942356008	0.355635803696	0.338854166666667	"LUSC"	0.49	0.21	0.3165625	0.5074
"TCGA-33-6737-01"	0.552340540609037	0.612636576680081	0.428589745510032	0.752594482294	0.497698387008	0.525901333333333	"LUSC"	0.44	0.43	0.707704	0.6181
"TCGA-33-6738-01"	0.566570004060214	0.456991398704496	0.643168276655779	0.887196980058	0.491605776607	0.427807033333333	"LUSC"	0.48	0.34	0.4634211	0.6327
"TCGA-33-A4WN-01"	0.644679089343786	0.841130306625609	0.652847873568209	0.885729614353	0.443700570832	0.3652393	"LUSC"	0.4	0.35	0.3457179	0.7913
"TCGA-33-A5GW-01"	0.575015011625388	0.901885790273613	0.659167124384909	0.958482571953	0.778571861413	0.804694433333333	"LUSC"	0.65	0.77	0.9940833	0.9358
"TCGA-34-2596-01"	0.65372900725938	0.515863534597447	0.587482662780626	0.783897713557	0.625155303837	0.684588133333333	"LUSC"	0.86	0.38	0.8137644	0.7665
"TCGA-34-2600-01"	0.533675095525675	0.829495434321492	0.664091498341578	0.927819127102	0.751675204694	0.8065933	"LUSC"	0.66	0.76	0.9997799	0.944
"TCGA-34-2608-01"	0.293915940771457	0.564182529944798	0.23946795499491	0.54078020051	0.288617741667	0.289966933333333	"LUSC"	0.37	0.3	0.1999008	0.4379
"TCGA-34-5231-01"	0.767817619801418	0.819495050011685	0.655630713861949	0.838324905953	0.62539484816	0.736459033333333	"LUSC"	0.63	0.58	0.9993771	0.7277
"TCGA-34-5232-01"	0.515760505665547	0.631595324376121	0.436607931771488	0.709534382339	0.342143537319	0.312707866666667	"LUSC"	0.34	0.33	0.2681236	0.4285
"TCGA-34-5234-01"	0.321863493279726	0.441624929135524	0.214317839837667	0.452797474682	0.251132219208	0.2604913	"LUSC"	0.2	0.38	0.2014739	0.3632
"TCGA-34-5236-01"	0.560360907915969	0.638908379569589	0.417753596368555	0.674252704989	0.29090555	0.2665061	"LUSC"	0.3	0.23	0.2695183	0.5807
"TCGA-34-5239-01"	0.428252441139018	0.33611182086145	0.297962256461827	0.561519027457	0.426059766667	0.5108677	"LUSC"	0.37	0.3	0.8626031	0.5599
"TCGA-34-5240-01"	0.735388043100924	0.496182977073097	0.72479665468107	0.7844293076	0.620859326678	0.756425766666667	"LUSC"	0.65	0.62	0.9992773	0.7721
"TCGA-34-5241-01"	0.541863044076494	0.54228983373152	0.367821124483974	0.600640844501	0.321146022159	0.544963766666667	"LUSC"	0.36	1	0.2748913	0.5134
"TCGA-34-5927-01"	0.622054357665266	0.862903374793262	0.64023844982353	0.91495833829	0.711861020795	0.776245033333333	"LUSC"	0.6	0.73	0.9987351	0.8421
"TCGA-34-5928-01"	0.409785537524259	0.523359084679707	0.301993705567309	0.655039456129	0.42899841674	0.484826266666667	"LUSC"	0.39	0.31	0.7544788	0.5653
"TCGA-34-5929-01"	0.598371694384922	0.698903825775649	0.535859608169332	0.824479795482	0.603713530176	0.615151133333333	"LUSC"	0.59	0.54	0.7154534	0.692
"TCGA-34-7107-01"	0.762822411604327	0.592214350399992	0.583863443737738	0.750953466289	0.657419403649	0.715631433333333	"LUSC"	0.6	0.57	0.9768943	0.7223
"TCGA-34-8454-01"	0.517944684215858	0.570106860132497	0.380657043845574	0.626190700424	0.549502297826	0.631495966666667	"LUSC"	0.66	0.41	0.8244879	0.5035
"TCGA-34-8455-01"	0.417425256925751	0.717148600206946	0.412641914330903	0.809936898756	0.481046313597	0.618542733333333	"LUSC"	0.46	0.4	0.9956282	0.6573
"TCGA-34-8456-01"	0.479372069024255	0.680589690955409	0.80571677355599	0.844527273736	0.500150683333	0.458044733333333	"LUSC"	0.46	0.5	0.4141342	0.773
