"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-D3-A1Q1-06"	NA	NA	0.850250717832023	0.941764490598	0.766304315156	0.788248033333333	"SKCM"	0.59	0.79	0.9847441	0.8698
"TCGA-D3-A1Q3-06"	NA	NA	1.0763286428298	0.760202225969	0.582999932906	0.590214833333333	"SKCM"	0.62	0.58	0.5706445	0.7422
"TCGA-D3-A1Q4-06"	NA	NA	1.11495327232562	0.679460831825	0.458274112294	0.4544485	"SKCM"	0.36	0.51	0.4933455	0.7201
"TCGA-D3-A1Q5-06"	NA	NA	1.20311292570346	0.917470547074	0.840698675125	0.889659766666667	"SKCM"	0.87	0.8	0.9989793	0.891
"TCGA-D3-A1Q6-06"	NA	NA	1.15003927276024	0.88488841748	0.569233217838	0.512165466666667	"SKCM"	0.55	0.46	0.5264964	0.836
"TCGA-D3-A1Q7-06"	NA	NA	1.04029195694633	0.462248567829	0.269322779918	0.2862341	"SKCM"	0.26	0.24	0.3587023	0.4524
"TCGA-D3-A1Q8-06"	NA	NA	0.911337758481881	0.650825670613	0.455405421115	0.463112933333333	"SKCM"	0.42	0.51	0.4593388	0.5662
"TCGA-D3-A1Q9-06"	NA	NA	0.834755393399027	0.815701323311	0.622592302388	0.607954366666667	"SKCM"	0.58	0.62	0.6238631	0.7988
"TCGA-D3-A1QB-06"	NA	NA	0.499552176362472	0.617596685407	0.432726584906	0.443819233333333	"SKCM"	0.49	0.43	0.4114577	0.5201
"TCGA-D3-A2J6-06"	NA	NA	0.579122442836498	0.817863713673	0.727178119205	0.759671	"SKCM"	0.87	0.69	0.719013	0.8045
"TCGA-D3-A2J7-06"	NA	NA	0.875620033433755	0.725045901845	0.409205493517	0.3717983	"SKCM"	0.27	0.44	0.4053949	0.6666
"TCGA-D3-A2J8-06"	NA	NA	0.782255623779482	0.544862981338	0.250141697989	0.235481866666667	"SKCM"	0.24	0.23	0.2364456	0.4212
"TCGA-D3-A2J9-06"	NA	NA	0.6190082654345	0.454344111831	0.252421318621	0.254193633333333	"SKCM"	0.29	0.26	0.2125809	0.2714
"TCGA-D3-A2JA-06"	NA	NA	1.2687198411703	0.584238648973	0.454997357413	0.652005033333333	"SKCM"	0.49	0.48	0.9860151	0.5295
"TCGA-D3-A2JB-06"	NA	NA	0.65648398798499	0.597955779821	0.315715032384	0.521466266666667	"SKCM"	0.32	1	0.2443988	0.4889
"TCGA-D3-A2JC-06"	NA	NA	0.724044158821351	0.730894525902	0.52472110415	0.530676066666667	"SKCM"	0.61	0.42	0.5620282	0.6835
