"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-BJ-A0YZ-01"	0.931426712429992	NA	0.898835324742891	0.892232715349	0.511906314435	0.473906733333333	"THCA"	0.6	0.37	0.4517202	0.8485
"TCGA-BJ-A0Z0-01"	0.18115140402999	NA	0.933487889114545	0.966074685091	0.706889208333	0.672401033333333	"THCA"	0.5	0.85	0.6672031	0.9727
"TCGA-BJ-A0Z2-01"	0.41848993929807	NA	0.967255989559999	0.94574552367	0.6720546	0.663053733333333	"THCA"	0.32	0.85	0.8191612	0.9573
"TCGA-BJ-A0Z3-01"	0.520728144387949	NA	0.709278678896157	0.706393424185	0.320955712476	0.332650533333333	"THCA"	0.36	0.21	0.4279516	0.6438
"TCGA-BJ-A0Z9-01"	0.862774201804454	NA	0.698201103122941	0.866185371595	0.57518645	0.625774433333333	"THCA"	0.45	0.72	0.7073233	0.7915
"TCGA-BJ-A0ZA-01"	0.240616328945483	NA	0.899115029965408	0.882591001789	0.460629173384	0.454233466666667	"THCA"	0.43	0.29	0.6427004	0.8827
"TCGA-BJ-A0ZB-01"	0.699778893259202	NA	0.814027347018325	0.891619005068	0.526353558333	0.520364633333333	"THCA"	0.34	0.43	0.7910939	0.97
"TCGA-BJ-A0ZC-01"	0.010064784822125	NA	0.868691716026853	0.924476418584	0.567373441667	0.5858809	"THCA"	0.3	0.71	0.7476427	0.9224
"TCGA-BJ-A0ZE-01"	0.593388798563046	NA	0.701429355342545	0.943308062227	0.618857508333	0.607459233333333	"THCA"	0.35	0.72	0.7523777	0.97
"TCGA-BJ-A0ZG-01"	0.090664047328741	NA	0.948094540462206	0.889818806163	0.521215933333	0.5178443	"THCA"	0.28	0.32	0.9535329	0.9113
"TCGA-BJ-A0ZH-01"	0.779783620265945	NA	0.776030055590303	0.843378838392	0.325103471667	0.3516776	"THCA"	0.27	0.21	0.5750328	0.8623
